"filename", "language", "JSON", "JavaScript", "JSON with Comments", "Markdown", "Log", "comment", "blank", "total"
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\grimoires\falconer.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\grimoires\fortunate.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\grimoires\mastery.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\grimoires\warrior.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\kasugai_crows\dove.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\kasugai_crows\kasugai_evolved.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\kasugai_crows\kasugai_proud.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\kasugai_crows\kasugai_simple.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\kasugai_crows\sparrow.json", "JSON", 6, 0, 0, 0, 0, 0, 0, 6
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map.js", "JavaScript", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\0.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 22
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\1.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 22
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\10.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\11.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\12.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\2.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 22
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\3.json", "JSON", 22, 0, 0, 0, 0, 0, 0, 22
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\4.json", "JSON", 34, 0, 0, 0, 0, 0, 0, 34
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\5.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\6.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\7.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\8.json", "JSON", 16, 0, 0, 0, 0, 0, 0, 16
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\map\9.json", "JSON", 34, 0, 0, 0, 0, 0, 0, 34
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\grimoire.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\leather.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\paper.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\seed.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\tamahagane.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\weapon_model.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\wood.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\materials\worm.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\pnjs\pnj0.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\pnjs\pnj1.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\pnjs\pnj2.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\pnjs\pnj3.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\pnjs\pnj4.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\pnjs\pnj5.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\pnjs\pnj6.json", "JSON", 4, 0, 0, 0, 0, 0, 0, 4
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\storyDatas.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 20
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\texts\c1_q1.json", "JSON", 13, 0, 0, 0, 0, 0, 0, 13
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\texts\c1_q2.json", "JSON", 11, 0, 0, 0, 0, 0, 0, 11
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\elements\texts\c1_q3.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\events\guildCreate.js", "JavaScript", 0, 17, 0, 0, 0, 0, 1, 18
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\events\guildDelete.js", "JavaScript", 0, 12, 0, 0, 0, 0, 1, 13
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\events\messageCreate.js", "JavaScript", 0, 149, 0, 0, 0, 0, 25, 174
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\events\ready.js", "JavaScript", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\index.js", "JavaScript", 0, 12, 0, 0, 0, 3, 3, 18
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\quests\bases\DailyQuest.js", "JavaScript", 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\quests\bases\QuestBase.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 15
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\quests\bases\SlayerQuest.js", "JavaScript", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\eloua\OneDrive\Bureau\DiscordJS\ObanaiDiscordBot\src\quests\bases\objectives\CollectKItems.js", "JavaScript", 0, 14, 0, 0, 0, 0, 1, 15
